ac, Defense Bonus
ac-miss, Defense vs. Missile
ac-hth, Defense vs. Melee
red-dmg, Damage Reduced by
red-dmg%, Damage Reduction %
ac%, Defense Bonus %
red-mag, Magic Damage Reduced by
str, Strength +
dex, Dexterity +
vit, Vitality +
enr, Energy +
mana, Mana +
mana%,Maximum Mana Increased by %
hp, Life +
hp%, Maximum Life Increased by %
att, Attack Rating +
block, Block Rating +
cold-min, Minimum Cold Damage
cold-max, Maximum Cold Damage
cold-len, Cold Length (frames)
fire-min, Minimum Fire Damage
fire-max, Maximum Fire Damage
ltng-min, Minimum Lightning Damage
ltng-max, Maximum Lightning Damage
pois-min, Minimum Poison Damage
pois-max, Maximum Poison Damage
pois-len, Poison Length (frames)
dmg-min, Minimum Damage Increase
dmg-max, Maximum Damage Increase
dmg%, Damage Increase
res-fire, Fire Resists
res-fire-max, Maximum Fire Resists
res-ltng, Lightning Resists
res-fire-max, Maximum Lightning Resists
res-cold, Cold Resists
res-cold-max, Maximum Cold Resists
res-mag, Magic Resists
res-mag-max, Maximum Magic Resists
res-pois, Poison Resists
res-pois-max, Maximum Poison Resists
res-all, All Resists
res-all-max,All Maximum Resists
abs-fire%, Fire Absorb
abs-fire, Fire Absorb
abs-ltng%, Lightning Absorb
abs-ltng, Lightning Absorb
abs-mag%, Magic Absorb
abs-mag, Magic Absorb
abs-cold%, Cold Absorb
abs-cold, Cold Absorb
dur, Increased Durability
dur%, Increased Durability
regen, Life Regeneration
thorns, Damage to Attackers
swing1, Increased Attack Speed
swing2, Increased Attack Speed
swing3, Increased Attack Speed
gold%, Gold Dropped by Monsters (%)
mag%, Increased Chance of Finding a Magic Item (%)
regen-stam, Increased Stamina Regeneration
regen-mana, Increased Mana Regeneration
stam, Increased Stamina
time, Increased Item Time Duration (?)
manasteal, Mana Stolen per Hit
lifesteal, Life Stolen per Hit
ama, Amazon Skills
pal, Paladin Skills
nec, Necromancer Skills
sor, Sorceress Skills
bar, Barbarian Skills
light, Light Radius
color, Light Color
ease, Requirements Reduced
res-pois-len, Poison Duration Reduced
dmg, Normal Damage
att%, Increased Chance to Hit
dmg-ac, Hit Damages Target Defense
dmg-demon, Damage vs. Demons
dmg-undead, Damage vs. Undead
att-demon, Attack Rating vs. Demons
att-undead, Attack Rating vs. Undead
fireskill, Fire Skills
allskills, All Skills
light-thorns, Attacker Takes Damage
crush, Crushing Blow
kick, Kick Damage
mana-kill, Mana Gained After Kill
demon-heal, Life Gained After Demon Kill
deadly, Deadly Strike
stamdrain, Stamina Drain Reduced
dru, Druid Skills
ass, Assassin Skills
skill, (skill) +
skilltab, (skilltab) +
aura, Level (param) Aura When Equipped
att-skill, Chance to cast (param) on attack (%)
hit-skill, Chance to cast (param) on hit (%)
gethit-skill, Chance to cast (param) when struck by an enemey (%)
gembonus, Gem Bonus?
dmg-fire, Adds Fire Damage
dmg-ltng, Adds Lightning Damage
dmg-mag, Adds Magic Damage
dmg-cold, Adds Cold Damage
dmg-pois, Adds Poison Damage
dmg-throw, Throw Damage
dmg-norm, Adds Physical Damage
ac/lvl, Increased Defense (per level)
